switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s4,0x1000067955c8c,0,40000,3114.072,114,4788,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000067955c8c, duration=3114.072s, table=0, n_packets=114, n_bytes=4788, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s4,0x1000001b9376d,0,5,3114.072,2,196,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000001b9376d, duration=3114.072s, table=0, n_packets=2, n_bytes=196, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s4,0x1000085e0299a,0,40000,3114.072,3996,545448,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000085e0299a, duration=3114.072s, table=0, n_packets=3996, n_bytes=545448, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s4,0x10000d94862f1,0,40000,3114.072,3996,545448,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000d94862f1, duration=3114.072s, table=0, n_packets=3996, n_bytes=545448, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
