snapshot,switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
4,s6,13,2164,179167,0,0,9540,420823596,0,0
4,s6,11,2171,179597,0,0,10009,423755893,0,0
4,s6,10,596,48563,0,0,3931,101577951,0,0
4,s6,8,474,13272,0,0,14,1076,0,0
4,s6,9,7060,317816755,4,0,1635,179548,0,0
4,s6,5,1669,181538,4,0,4244,396859,0,0
4,s6,12,2177,180033,0,0,9616,423734263,0,0
4,s6,14,1954,165278,0,0,8944,423684281,0,0
4,s6,1,23909,1132627511,4,0,7459,309147439,0,0
4,s6,4,7015,309128227,4,0,1670,181736,0,0
4,s6,6,23173,1042358472,4,0,13491,394606964,0,0
4,s6,7,1652,180452,4,0,7607,673375,0,0
4,s6,2,1216,164040,0,0,1658,182604,0,0
4,s6,3,2570,265938,0,0,7678,305513004,0,0
4,s7,4,474,13272,0,0,14,1076,0,0
4,s7,1,1670,181736,0,0,7015,309128227,0,0
4,s7,5,1660,181386,4,0,1658,181274,0,0
4,s7,2,4231,397340,0,0,1670,182918,0,0
4,s7,3,7490,309149391,0,0,4233,397456,0,0
4,s2,6,129110,6381035358,0,0,35987,3009701,0,0
4,s2,4,477,13356,0,0,14,1076,0,0
4,s2,1,9082,790558,0,0,61587,2944743440,0,0
4,s2,5,32276,1425753854,4,0,23539,479610716,0,0
4,s2,2,22526,925271697,0,0,11640,465609340,0,0
4,s2,3,48887,1568680510,0,0,39078,1706079083,0,0
4,s4,8,474,13304,0,0,14,1076,0,0
4,s4,5,2051,171748,0,0,9256,419651166,0,0
4,s4,1,7459,309147439,0,0,23909,1132627511,0,0
4,s4,4,47825,2382846899,4,0,9572,839503,0,0
4,s4,6,2084,173857,0,0,9159,423698568,0,0
4,s4,7,2161,178942,0,0,9607,414953579,0,0
4,s4,2,1676,183550,0,0,1676,183772,0,0
4,s4,3,2827,296375,4,0,3289,316650,0,0
4,s1,1,12384,1063203,0,0,17061,808985147,0,0
4,s1,2,34979,2945158,0,0,132772,6204125531,0,0
4,s1,3,140569,7012241485,0,0,39141,3281732,0,0
4,s3,1,6655,593944,0,0,24891,1094119394,0,0
4,s3,2,30012,2534796,4,0,104104,5136245017,0,0
4,s3,3,126141,6230019475,0,0,34854,2926326,0,0
4,s0,1,1685,184588,0,0,19820,925048246,0,0
4,s0,2,31357,2641505,4,0,96510,4699105438,0,0
4,s0,3,113472,5623808960,0,0,31234,2624459,0,0
4,s5,11,579,47370,0,0,3566,89497591,0,0
4,s5,10,1092,90253,0,0,5742,199824061,0,0
4,s5,8,472,13216,0,0,15,1146,0,0
4,s5,9,1059,88129,0,0,5525,197458786,0,0
4,s5,5,9426,388489802,0,0,3734,355598,0,0
4,s5,1,3289,316650,0,0,2827,296375,0,0
4,s5,4,7925,300267585,0,0,1672,183382,0,0
4,s5,6,1673,183234,0,0,4380,407313,0,0
4,s5,7,1602,132870,0,0,7859,298413914,0,0
4,s5,2,10083,397320872,0,0,2788,274021,0,0
4,s5,3,1675,183508,0,0,1672,183382,0,0
4,s9,8,475,13332,0,0,14,1076,0,0
4,s9,5,63393,2998948094,4,0,17067,1455284,0,0
4,s9,1,4244,396859,0,0,1669,181538,0,0
4,s9,4,1666,182370,0,0,1667,182444,0,0
4,s9,6,7823,311741760,4,0,1661,181622,0,0
4,s9,7,2168,179454,0,0,9781,420165604,0,0
4,s9,2,1669,181534,0,0,1669,181538,0,0
4,s9,3,12040,106769676,0,0,54593,2575314330,0,0
4,s10,8,473,13244,0,0,15,1146,0,0
4,s10,9,2307,188635,0,0,10074,417994779,0,0
4,s10,5,1659,182486,4,0,1657,182402,0,0
4,s10,1,1672,183382,4,0,1675,183508,0,0
