switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s20,0x10000b51ead48,0,5,1841.897,75,6510,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000b51ead48, duration=1841.897s, table=0, n_packets=75, n_bytes=6510, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s20,0x100005fb0bd65,0,40000,1841.897,1185,162345,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100005fb0bd65, duration=1841.897s, table=0, n_packets=1185, n_bytes=162345, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s20,0x10000e26581f8,0,40000,1841.897,1185,162345,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000e26581f8, duration=1841.897s, table=0, n_packets=1185, n_bytes=162345, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s20,0x10000f211a47c,0,40000,1841.897,1109,46578,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000f211a47c, duration=1841.897s, table=0, n_packets=1109, n_bytes=46578, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
